store,cbsa,address,city,state,zip,lat,lon,ccia,capis,ogpMarketName,status
2801,"Albany, GA",108 S Westover Blvd,Albany,GA,31707-0000,31.583836,-84.218466,,WNM FET4 Future Proof,Albany-GA,Open
2803,"Oklahoma City, OK",2200 W Danforth Rd,Edmond,OK,73003-4600,35.665652,-97.512129,,Seafood External High,OKC North,Open
2804,"Oklahoma City, OK",1801 Belle Isle Blvd,Oklahoma City,OK,73118-4221,35.526356,-97.539712,,Seafood External,OKC North,Open
2806,"Spartanburg, SC",4000 Hwy #9,Boiling Springs,SC,29316-8501,35.052629,-81.985788,,Tenant,Spartanburg,Open
2807,"Harrisonburg, VA",2160 John Wayland Hwy,Harrisonburg,VA,22801-4509,38.433395,-78.910329,Tenant,Expansion (Ambient),Lynchburg,Open
2808,"Richmond, VA",12200 Chattanooga Plz,Midlothian,VA,23112-4865,37.431919,-77.621472,,Seafood External,Richmond,Open
2811,"Athens-Clarke County, GA",4375 Lexington Rd,Athens,GA,30605-2525,33.934239,-83.308939,,Modified Split Backroom,Atlanta North,Open
2812,"Rochester, MN",25 25th St Se,Rochester,MN,55904-5576,43.986602,-92.459581,In-Lane,Seafood External,Rochester-MN,Open
2813,"Wausau, WI",2001 N Central Ave,Marshfield,WI,54449-8337,44.686521,-90.154602,,Rear Backroom,Madison,Open
2817,"Chicago-Naperville-Elgin, IL-IN-WI",17625 Torrence Ave,Lansing,IL,60438-6018,41.574942,-87.555123,,Split Backroom,Joliet,Open
2818,"Chicago-Naperville-Elgin, IL-IN-WI",7850 Cabela Dr,Hammond,IN,46324-0015,41.569186,-87.482627,,Split Backroom,Joliet,Open
2819,"Fort Wayne, IN",2100 N Main St,Bluffton,IN,46714-1185,40.772792,-85.168326,,Expansion (Full) Plus,Fort Wayne,Open
2820,"Worthington, MN",1055 Ryans Rd,Worthington,MN,56187-1721,43.636684,-95.601827,,Tenant,Minneapolis North,Open
2821,"Richmond, VA",2410 Sheila Ln,Richmond,VA,23225-2041,37.531971,-77.531673,,Seafood External,Richmond,Open
2822,"Baton Rouge, LA",28270 Walker Rd S,Walker,LA,70785-6028,30.476454,-90.859838,,Other (Non-Proto),Baton Rouge North,Open
2823,"Parkersburg-Vienna, WV",2900 Pike St,Parkersburg,WV,26101-8653,39.215782,-81.548619,,Expansion (Full) Plus,West OH,Open
2826,"Riverside-San Bernardino-Ontario, CA",83053 Avenue 48,Coachella,CA,92236-0000,33.698861,-116.215202,,WNM (Other),San Diego,Open
2827,"Iowa City, IA",2801 Commerce Dr,Coralville,IA,52241-2757,41.697598,-91.612425,In-Lane,Seafood External,Iowa City,Open
2831,"Twin Falls, ID",2680 S Lincoln Ave,Jerome,ID,83338-6128,42.694065,-114.515193,,Combined Stockroom,Idaho Falls,Open
2832,"Hilton Head Island-Bluffton-Beaufort, SC",4400 Highway 278,Hardeeville,SC,29927-0000,32.311011,-80.978396,Tenant,Modified Split,Beaufort,Open
2834,"Dallas-Fort Worth-Arlington, TX",5336 Golden Triangle Boulevard,Fort Worth,TX,76244-0000,32.930722,-97.269646,Inlane,SC Future Proof Split,Dallas Central,Open
2836,"Raleigh, NC",1051 E Broad St,Fuquay Varina,NC,27526-1799,35.594631,-78.781092,,Tenant,Raleigh,Open
2838,"Las Vegas-Henderson-Paradise, NV",540 Marks St,Henderson,NV,89014-6654,36.060533,-115.033202,,Modified Split Backroom,Las Vegas,Open
2839,"Springfield, MO",444 W Grand Street,Springfield,MO,65807-0000,37.196415,-93.296293,,WNM Front Split,Springfield,Open
2843,"Ocala, FL",17961 S Us Highway 441,Summerfield,FL,34491-8685,28.962586,-81.964871,Feature Space,Expansion (Rear Backroom),The Villages,Open
2844,"Albany-Schenectady-Troy, NY",1549 Route 9,Clifton Park,NY,12065-5614,42.846925,-73.747841,In-Lane,Seafood Internal,Albany,Open
2846,"Memphis, TN-MS-AR",7950 Craft Goodman Frontage Rd,Olive Branch,MS,38654-6608,34.964977,-89.849634,,Expansion (Full) Plus,Memphis,Open
2847,"Omaha-Council Bluffs, NE-IA",10504 S 15th St,Bellevue,NE,68123-4084,41.155655,-95.936667,,Seafood External,Omaha,Open
2850,"Baltimore-Columbia-Towson, MD",2320 No. Hanover Pike,Hampstead,MD,21074-1151,39.636313,-76.869283,,Split Backroom High,Baltimore,Open
2852,"Wheeling, WV-OH",10 Walmart Dr,Moundsville,WV,26041-1187,39.926795,-80.747749,,Centennial Plus,West OH,Open
2855,"Kansas City, MO-KS",16100 W 65th St,Shawnee,KS,66217-9301,39.011976,-94.772878,,Seafood External,Kansas City,Open
2856,"Kansas City, MO-KS",201 Se Salem St,Oak Grove,MO,64075-9284,39.014136,-94.122174,,Combined Stockroom Alt,Kansas City,Open
2857,"Kansas City, MO-KS",8551 N Boardwalk Ave,Kansas City,MO,64154-2547,39.250489,-94.654535,,Modified Seafood,Kansas City,Open
2858,"Statesboro, GA",349 Brampton Ave,Statesboro,GA,30458-0000,32.411385,-81.768926,,WNM FET4 Future Proof,Atlanta North,Open
2860,"Savannah, GA",160 Pooler Pkwy,Pooler,GA,31322-4200,32.143935,-81.243863,,Rear Backroom,Savannah,Open
2861,"Boise City, ID",7319 W State St,Garden City,ID,83714-6051,43.669921,-116.283599,,Modified Split Backroom,Boise City,Open
2862,"Boise City, ID",4051 E Fairview Ave,Meridian,ID,83642-5801,43.618101,-116.343373,,Seafood Internal High,Boise City,Open
2864,"San Antonio-New Braunfels, TX",6703 W Loop 1604 N,San Antonio,TX,78254-9539,29.500965,-98.704782,,Seafood External,San Antonio North,Open
2869,"Lansing-East Lansing, MI",409 N Marketplace Blvd,Lansing,MI,48917-7732,42.738214,-84.675623,,Modified Split,Lansing,Open
2870,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3915 N Kings Hwy,Myrtle Beach,SC,29577-2742,33.717322,-78.856782,Customer Service Desk,NHM Rear,Myrtle Beach,Open
2871,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2501 Route 130 S,Cinnaminson,NJ,08077-3075,40.007822,-74.980924,,Tenant,Philadelphia,Open
2872,"Detroit-Warren-Dearborn, MI",10562 Belleville Rd,Belleville,MI,48111-1308,42.225518,-83.488377,Update Existing (Front),Beverage Alcove,Detroit,Open
